date,market,station_id,avg_temp,max_temp,min_temp,avg_humidity,precipitation,avg_wind_speed
2025-06-26,안동,136,18.5,18.5,18.5,37.0,-9.0,1.0
2025-06-27,안동,136,18.5,18.5,18.5,37.0,-9.0,1.0
2025-06-28,안동,136,18.5,18.5,18.5,37.0,-9.0,1.0
2025-06-29,안동,136,18.5,18.5,18.5,37.0,-9.0,1.0
2025-06-30,안동,136,18.5,18.5,18.5,37.0,-9.0,1.0
2025-07-01,안동,136,18.5,18.5,18.5,37.0,-9.0,1.0
2025-07-02,안동,136,18.5,18.5,18.5,37.0,-9.0,1.0
2025-07-03,안동,136,18.5,18.5,18.5,37.0,-9.0,1.0
2025-07-04,안동,136,18.5,18.5,18.5,37.0,-9.0,1.0
2025-07-05,안동,136,18.5,18.5,18.5,37.0,-9.0,1.0
2025-07-06,안동,136,18.5,18.5,18.5,37.0,-9.0,1.0
2025-07-07,안동,136,18.5,18.5,18.5,37.0,-9.0,1.0
2025-07-08,안동,136,18.5,18.5,18.5,37.0,-9.0,1.0
2025-07-09,안동,136,18.5,18.5,18.5,37.0,-9.0,1.0
2025-07-10,안동,136,18.5,18.5,18.5,37.0,-9.0,1.0
2025-07-11,안동,136,18.5,18.5,18.5,37.0,-9.0,1.0
2025-07-12,안동,136,18.5,18.5,18.5,37.0,-9.0,1.0
2025-07-13,안동,136,18.5,18.5,18.5,37.0,-9.0,1.0
2025-07-14,안동,136,18.5,18.5,18.5,37.0,-9.0,1.0
2025-05-26,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-05-27,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-05-28,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-05-29,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-05-30,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-05-31,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-01,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-02,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-03,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-04,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-05,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-06,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-07,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-08,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-09,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-10,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-11,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-12,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-13,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-14,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-15,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-16,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-17,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-18,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-19,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-20,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-21,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-22,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-23,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-24,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-25,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-26,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-27,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-28,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-29,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-06-30,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-07-01,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-07-02,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-07-03,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-07-04,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-07-05,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-07-06,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-07-07,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-07-08,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-07-09,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-07-10,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-07-11,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-07-12,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-07-13,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
2025-07-14,광주,156,20.4,20.4,20.4,43.0,-9.0,0.0
